hour,coef_did,p_value,pct_change,ci_lower,ci_upper,ci_lower_pct,ci_upper_pct,significant
0,0.14191784241440403,0.0015966195732049636,15.248195951211096,0.05389808683451053,0.22993759799429753,5.537703985924924,25.852147321493078,True
1,0.1682539305649699,0.009557523055038658,18.32370325512138,0.041149351354157065,0.2953585097757827,4.200771918853907,34.36079689418112,True
2,0.11743244438082862,0.11197167486640774,12.460565394618307,-0.027483429336559395,0.2623483180982166,-2.71091961340415,29.997926988522885,False
3,0.3111063668629863,1.5539935572525456e-10,36.49343972550811,0.21643106260994754,0.4057816711160251,24.163748715564882,50.04749196788261,True
4,0.02802648912695769,0.44556823897063647,2.8422926086074884,-0.044002100492373596,0.10005507874628897,-4.304805259933175,10.523179118064196,False
5,-0.14179733461319036,4.3474332056534395e-06,-13.220288889731592,-0.20225619711639015,-0.08133847210999058,-18.311438260859447,-7.811839258110642,True
6,-0.2469725912522599,5.209785539141515e-15,-21.883789608699043,-0.3087747889351011,-0.18517039356941872,-26.56538657204598,-16.90373189089165,True
7,-0.15342551455663966,1.500608876704395e-06,-14.223534720012443,-0.21590183907229332,-0.090949190040986,-19.41856025198169,-8.693589752969743,True
8,-0.16137251864011773,2.2766589815058554e-07,-14.902499199789576,-0.222458154976563,-0.10028688230367247,-19.945149497968906,-9.54221265758175,True
9,-0.17539242605719274,3.73339313781569e-09,-16.087233941065072,-0.23366361498023808,-0.1171212371341474,-20.837193706609025,-11.052265105849346,True
10,-0.1252570952703515,1.3987077060758253e-05,-11.77299540320278,-0.18175234360240478,-0.06876184693829825,-16.619218731323272,-6.645101884557924,True
11,-0.06804891493655787,0.023168865877882527,-6.5785224596909275,-0.12678529838170668,-0.009312531491409058,-11.907721215710287,-0.9269304159385761,True
12,-0.05656757905414281,0.06254027464732316,-5.499738004600053,-0.11609763951500984,0.0029624814067242197,-10.961171802693503,0.2966873891246946,False
13,-0.05415978736693592,0.07019800376066389,-5.271926908557479,-0.11278731052244084,0.004467735788568995,-10.66593559336254,0.4477730999884688,False
14,-0.09846772331659218,0.001229116600285532,-9.377505792221786,-0.1581697584743209,-0.03876568815886345,-14.629515396540494,-3.8023914871159192,True
15,-0.03525447545149812,0.2648891228130855,-3.464027535413694,-0.09723478746454908,0.026725836561552856,-9.26570516277192,2.7086174681959507,False
16,-0.04523929381064132,0.15316382430726888,-4.423125507853632,-0.10731501546381372,0.016836427842531088,-10.17573319135192,1.6978959276960914,False
17,-0.05207944427292151,0.12271511797880436,-5.074654890298591,-0.11821465566139609,0.014055767115553078,-11.149469055155404,1.4155013861371968,False
18,-0.021594962815988255,0.5389010152089404,-2.1363461025203145,-0.090482691221994,0.04729276559001748,-8.65098548377511,4.8428908060592635,False
19,-0.019331677502730703,0.5789916889656206,-1.9146018914005913,-0.08762596321779464,0.04896260821233323,-8.389653095800508,5.0181081857841425,False
20,0.0004382016640817679,0.9902380100840451,0.04382976884564904,-0.06976783119360427,0.07064423452176782,-6.738968220273744,7.319935066315053,False
21,0.010475592144845964,0.7859804055653641,1.0530653258201905,-0.0651524650275842,0.08610364931727613,-6.307539574846166,8.991929184121616,False
22,-0.02817217482079854,0.45728324874341364,-2.7779039579558296,-0.10247066769710539,0.04612631805550831,-9.739537516311414,4.720668371454462,False
23,0.11649724422179508,0.0034743835358813807,12.355441419617108,0.038399551233915086,0.19459493720967508,3.9146342147488467,21.48188089185703,True
