hour,coef_did,p_value,pct_change,ci_lower,ci_upper,ci_lower_pct,ci_upper_pct,significant
0,0.042211714468787326,0.490955304113873,4.311529797582092,-0.0780335929220047,0.16245702185957933,-7.506664519240058,17.639775797416778,False
1,0.029341446388402123,0.6998754843359787,2.9776147799937647,-0.12020861493254191,0.17889150770934614,-11.326456883178725,19.589099217635187,False
2,-0.006514517277607325,0.9482250364961614,-0.6493343813176788,-0.20396703788363676,0.19093800332842212,-18.45107490041331,21.038440995039576,False
3,0.1064244185712426,0.08990462172788521,11.229385450986417,-0.0166008178127742,0.2294496549552594,-1.6463783578064328,25.79075362179186,True
4,0.03109186737074986,0.5084014239044063,3.158026810053438,-0.06109777808266552,0.12328151282416523,-5.926874761925383,13.120282422983554,False
5,-0.03172492021657514,0.39193953288401395,-3.1226964693690684,-0.10437127479256372,0.04092143435941344,-9.910924270714716,4.177025498277387,False
6,0.014424340837973431,0.6391622274436828,1.452887364315547,-0.04587944077650856,0.07472812245245541,-4.484289175110168,7.759113821873931,False
7,-0.049388482684809214,0.11617499000477169,-4.818870434147349,-0.11100597844173206,0.012229013072113631,-10.506660139413992,1.2304093192249344,False
8,-0.10325738868573575,0.0012485078467004613,-9.810519391464245,-0.16595074565585669,-0.04056403171561482,-15.291204407639636,-3.975232376329041,True
9,-0.0983010712453089,0.0034426194139579366,-9.362402107361978,-0.1641570771931761,-0.032445065297441705,-15.13912856642593,-3.192437068265652,True
10,-0.0444253490628896,0.24302684355288226,-4.345299544133708,-0.11901458940736288,0.030163891281583685,-11.220515173323031,3.062343030764203,False
11,-0.05111577852228027,0.23845748856538349,-4.983134495896335,-0.13610949614948914,0.033877939104928596,-12.725293518640646,3.445833211174665,False
12,0.010169408663326501,0.8179651283203231,1.0221292827548911,-0.07644243350138881,0.0967812508280418,-7.359375728247331,10.161936893741608,False
13,0.013412572796054968,0.7664985088902749,1.350292484982063,-0.07512628568971914,0.10195143128182908,-7.23736669999504,10.732968883828153,False
14,-0.04524592466408061,0.30310663223408224,-4.423759261999405,-0.13137046317503331,0.0408786138468721,-12.310714230230202,4.172564680158475,False
15,0.013213965435513557,0.7622815564919532,1.330165569644426,-0.07241955530698693,0.09884748617801406,-6.985943147677897,10.389792702770585,False
16,-0.07297655137728697,0.08660597951801605,-7.037737185950343,-0.15644898116580377,0.010495878411229842,-14.482485337103345,1.0551153360157661,True
17,-0.08534375396564647,0.05800448940841891,-8.180340357619487,-0.17358326372584917,0.0028957557945562262,-15.93528471663086,0.28999525453110575,True
18,-0.06868368252029705,0.138033260437912,-6.637804568087635,-0.15945462868953775,0.02208726364894366,-14.739134950935052,2.233299308545922,False
19,-0.05431386598298403,0.26493495310510423,-5.286521354585416,-0.14981671373292918,0.04118898176696112,-13.913425316477213,4.204901520287918,False
20,-0.05638103680677389,0.27909426762753653,-5.4821080690377055,-0.15849367656897986,0.04573160295543208,-14.657163963076114,4.679341699025552,False
21,-0.10385607204992434,0.05272188397649778,-9.864498173417735,-0.20893370953161483,0.0012215654317661723,-18.855097480352466,0.12223118467189487,True
22,-0.05885379592611214,0.26542997744437324,-5.7155393196800635,-0.1624617294992004,0.04475413764697612,-14.995137861065322,4.577071265046162,False
23,-0.0709812055899471,0.17837531740116438,-6.8520601431147465,-0.1743873696474506,0.03242495846755643,-16.002854481723027,3.2956375606118637,False
