hour,coef_did,p_value,pct_change,ci_lower,ci_upper,ci_lower_pct,ci_upper_pct,significant,post_coef,post_p_value
0,0.008636173835005418,0.8984925941564539,0.86735731691161,-0.12431793523730425,0.1415902829073151,-11.690097205406069,15.2104514910683,False,0.023350320235162956,0.6022058895339866
1,0.0357962435919648,0.7194001325272481,3.6444642737063937,-0.16039910779576655,0.23199159497969618,-14.81962404043793,26.11091291359484,False,0.04577387041433602,0.5064800872047508
2,0.012652571843956425,0.9194464519346757,1.2732954288221299,-0.2344270506361363,0.25973219432404915,-20.89760635203636,29.658280793093496,False,0.1773158675563064,0.03772189513509039
3,0.12126384358454825,0.032179245474630136,12.892273209701832,0.01034314813587775,0.23218453903321876,1.039682338997694,26.135247611868007,True,0.19632587444786784,7.431604458485452e-07
4,0.02593621803552278,0.5435115563876596,2.627548851912942,-0.057793998727964965,0.10966643479901052,-5.615563944968693,11.590578103478876,False,0.07712928213838569,0.015842864530385192
5,-0.02173431747217706,0.47712802514168384,-2.1499829081643274,-0.0816703603685305,0.03820172542417638,-7.842430349544427,3.894079251309779,False,0.06693778245246995,0.005742575673696848
6,0.01888346676263713,0.3623836899092907,1.9062887000406148,-0.02175463951096153,0.059521573036235786,-2.1519713998015666,6.132865681414068,False,0.04455242674453432,0.008686735895559572
7,-0.013238266237144188,0.4370093427068582,-1.3151025785755666,-0.04662267591321918,0.020146143438930803,-4.555253432671568,2.0350446654201493,False,0.022043912714367786,0.11732325304325464
8,-0.04902986039518633,0.0012946428899140994,-4.784730238181822,-0.07889652268483167,-0.019163198105540985,-7.586445343714853,-1.8980751304838783,True,0.02553507426510226,0.03983674291717021
9,-0.02966501101963504,0.04107901683969395,-2.922932343508544,-0.05812787584282281,-0.0012021461964472728,-5.647071488049749,-0.12014239081694633,True,0.016447159633862275,0.15978577155480278
10,-0.006807297511265718,0.64303653651073,-0.678418034644479,-0.035597576377280726,0.021982981354749288,-3.4971434355647535,2.2226387414148174,False,0.007552127176470517,0.5127515912951397
11,-0.003958331687101572,0.7930272192372474,-0.39505078187885845,-0.03352913213098116,0.025612468756778018,-3.2973260728580422,2.59432863479363,False,-0.0015329332850515214,0.8951537013820019
12,0.028500759782531207,0.058623451708913255,2.891079258267326,-0.001039485065768113,0.05804100463083053,-0.10389449883174695,5.975844982337608,True,-0.027045559982667756,0.017920983466444884
13,0.049698594370307596,0.0009339463977400264,5.095428509599342,0.02027239275446629,0.0791247959861489,2.0479273331666548,8.233938525339845,True,-0.047783030069267665,2.332131973803442e-05
14,-0.0027588559870261337,0.8535571402672626,-0.2755053841175581,-0.03205599381444755,0.026538281840395285,-3.154764678039612,2.6893557884521746,False,-0.01346129414435826,0.22935647159382722
15,0.0053863713162885275,0.7158633710850426,0.5400903895172782,-0.023619616415883227,0.03439235904846028,-2.3342856545529256,3.4990615005267456,False,-0.021345942889733932,0.05255640737941514
16,-0.015347560849307587,0.2903597012631036,-1.5230387246177535,-0.04379883455999396,0.013103712861378786,-4.28535170989508,1.3189942738962568,False,0.0026744016405691974,0.8043773268397383
17,-0.006635227353684983,0.6521020957360719,-0.6613262839365808,-0.03548304614198646,0.0222125914346165,-3.486090307749279,2.2461127844958018,False,-0.0021010374694136994,0.8478202266684396
18,-0.02011549849526415,0.17886696249395095,-1.9914531627445942,-0.049445923141065044,0.009214926150536741,-4.824337524638967,0.9257514297543512,False,0.001965245299297374,0.8600996030518213
19,-0.011770337870236234,0.4513061047185998,-1.1701338424369268,-0.04239982324261182,0.018859147502139358,-4.151352122083729,1.903810444594134,False,-0.002592092798715051,0.8213709076686251
20,-0.053265442188126594,0.002015963130767462,-5.187169417512971,-0.08706862350528646,-0.019462260870966717,-8.338580780401406,-1.9274093768198886,True,-0.004933173475409426,0.6865528032478592
21,-0.06746139978788997,0.0015286291451173106,-6.5236197999321455,-0.10916988810659811,-0.025752911469181815,-10.342191339455242,-2.5424133620070344,True,0.027628437893468694,0.05248701921715537
22,-0.023971098770962596,0.3996363623179531,-2.36860739774466,-0.07976673494002712,0.031824537398101926,-7.666829770693473,3.2336352990325334,False,0.005707748865607729,0.7568249591723812
23,-0.04355330575771872,0.2525176311157964,-4.261848121654355,-0.1181828788755347,0.031076267360097262,-11.146645626000385,3.1564175562885044,False,0.06842584580874858,0.0029816845380248314
